image_id,path,product_type
A1LoxB5AtfL,aa/aa56b785.jpg,RUG
71TEo+7CduL,33/33ffcb24.jpg,SHELF
61UAnQ+xS6L,55/55c94737.jpg,OFFICE_PRODUCTS
71GPcOY06kL,50/505a545c.jpg,DESK
51rK6BUJBqL,d5/d5cefe9b.jpg,TABLE
91i1+qy+sfL,fa/fa129737.jpg,HANDBAG
81EGjIWKinL,f0/f0094309.jpg,INK_OR_TONER
81j987tYzRL,9c/9ccd3a04.jpg,NUTS
71OSLjsI7FL,f4/f4b38c1c.jpg,GROCERY
518SHI6jRDS,e8/e824ee0b.jpg,TABLE
81RNvK0qA+L,16/1647a619.jpg,COFFEE
A1Wj59yx87L,b4/b42aa2c3.jpg,PILLOW
71fu8YPZUyL,2c/2cea4e95.jpg,EARRING
91xzBD53cQL,67/674e69c4.jpg,HAT
81bg26gzCsL,ce/cee85c54.jpg,OUTDOOR_LIVING
718HA6q0X0L,fa/fa3394eb.jpg,DAIRY_BASED_DRINK
81peUKm9vJL,c8/c860eae8.jpg,HAIR_COMB
81ck6-XHo1L,9e/9efd7f96.jpg,NUTRITIONAL_SUPPLEMENT
71rdBTiFotL,e6/e6165032.jpg,FINENECKLACEBRACELETANKLET
91oNY+gNzPL,e1/e1fe92c8.jpg,GROCERY
61ocKWNf-xL,e6/e67d3fb2.jpg,CHAIR
715LyRqTxiL,3d/3d6797cb.jpg,RING
61mqxQpVvbL,45/454426b9.jpg,LAUNDRY_HAMPER
51hRFxETAPL,79/79fa6264.jpg,HOME_FURNITURE_AND_DECOR
91RMFeYzTeL,f1/f145a0e4.jpg,FOOD_SERVICE_SUPPLY
71QPXg9+ZLL,2d/2d85897a.jpg,HOME
718eMS08v2L,a6/a6c0595f.jpg,WIRELESS_ACCESSORY
710bbhoC25L,da/da1c7c6a.jpg,TOILET_PAPER_HOLDER
815nAxi0DNL,d7/d760929d.jpg,NUT_BUTTER
91FIX-IIHpL,9e/9ebe9159.jpg,WALL_ART
91bQeMlsT-L,0f/0f888e58.jpg,CHAIR
81vbGywU6fL,6e/6eb4ea2d.jpg,SPORTING_GOODS
91QZI+Ak6yL,74/745ea1ce.jpg,HOME_FURNITURE_AND_DECOR
61jiQX5RqZL,19/19fc5e5c.jpg,HARDWARE_HANDLE
812TGwBub4L,0e/0ecdb1a2.jpg,SHOES
61P3LzrVinL,c5/c56b3542.jpg,HARDWARE_HANDLE
61lz8blLyyL,14/14d7df59.jpg,FINERING
81Z39nklezL,a5/a5302209.jpg,PET_SUPPLIES
51SXj6dFZdL,3d/3d3a5fd0.jpg,STORAGE_HOOK
71PtVMoMnAL,6d/6da2d91a.jpg,FINENECKLACEBRACELETANKLET
81Eb0pM3AhL,55/5515b1c0.jpg,HOME_FURNITURE_AND_DECOR
81rcq6mJpQL,da/dab200c9.jpg,TENT
